operating_point,detector,probe,intensity,n,corpora,directional_corpus_sign_flip_p,holm_adjusted_directional_p,holm_reject_0.05,any_flip_rate__estimate,any_flip_rate__lower90,any_flip_rate__upper90,human_to_ai_flip_rate__estimate,human_to_ai_flip_rate__lower90,human_to_ai_flip_rate__upper90,ai_to_human_flip_rate__estimate,ai_to_human_flip_rate__lower90,ai_to_human_flip_rate__upper90,mean_score_shift__estimate,mean_score_shift__lower90,mean_score_shift__upper90
0.05,mage_longformer__paper,adjacent_repetition_removal,low,15,4,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.5064153679607746e-05,-7.003677092143334e-05,5.395298752415454e-05
0.05,mage_longformer__paper,adjacent_repetition_removal,high,15,4,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0001685693982532636,-0.00010457003091119077,0.0005044774576530329
0.05,openai_roberta_base__gpt2_legacy,contraction_expansion,low,214,6,1.0,1.0,False,0.004672897196261682,0.0,0.01698665066746659,0.004672897196261682,0.0,0.01698665066746659,0,0.0,0.0,0.004997754690920603,0.00043840055194613455,0.011935227981363511
0.05,openai_roberta_base__gpt2_legacy,contraction_expansion,high,214,6,0.5,1.0,False,0.014018691588785047,0.0,0.03571428571428571,0.014018691588785047,0.0,0.03571428571428571,0,0.0,0.0,0.010194085908509143,-0.0006066978156280933,0.023193801443891895
0.05,openai_roberta_base__gpt2_legacy,punctuation_normalization,low,356,8,1.0,1.0,False,0.014044943820224719,0.0,0.03089887640449438,0.0056179775280898875,0.0,0.0175,0.008426966292134831,0.0,0.019662921348314606,0.0005002201128008074,-0.004732156955005615,0.005905865045215144
0.05,openai_roberta_base__gpt2_legacy,punctuation_normalization,high,356,8,0.25,1.0,False,0.014044943820224719,0.0028089887640449437,0.03089887640449438,0.0028089887640449437,0.0,0.011194029850746268,0.011235955056179775,0.0025,0.025014044943820212,-0.003832266778200198,-0.009710070024464564,0.00046471711871708766
0.05,openai_roberta_base__gpt2_legacy,sentence_splitting,low,358,8,1.0,1.0,False,0.0111731843575419,0.0,0.02680965147453083,0.002793296089385475,0.0,0.012084592145015106,0.008379888268156424,0.0,0.0225,-0.010997421180173514,-0.02360096519738292,0.00021405898773926813
0.05,openai_roberta_base__gpt2_legacy,sentence_splitting,high,358,8,0.5,1.0,False,0.013966480446927373,0.0,0.036312849162011177,0.002793296089385475,0.0,0.009146341463414634,0.0111731843575419,0.0,0.029490616621983913,-0.014451954509886034,-0.03028278345643639,-0.0032847250344569213
0.05,openai_roberta_base__gpt2_legacy,discourse_markers,low,132,6,1.0,1.0,False,0.007575757575757576,0.0,0.024881840796019895,0,0.0,0.0,0.007575757575757576,0.0,0.024881840796019895,-0.007655218527140802,-0.016486157221717535,-0.0006128503509717125
0.05,openai_roberta_base__gpt2_legacy,discourse_markers,high,132,6,1.0,1.0,False,0.007575757575757576,0.0,0.02459016393442623,0,0.0,0.0,0.007575757575757576,0.0,0.02459016393442623,-0.01823112168075926,-0.035719259364872004,-0.003415220135989825
0.05,openai_roberta_base__gpt2_legacy,paragraph_resegmentation,low,400,8,0.25,1.0,False,0.02,0.0,0.0425,0.0175,0.0,0.0375,0.0025,0.0,0.01,0.012533108413845185,0.0028188456694078923,0.02390831912856083
0.05,openai_roberta_base__gpt2_legacy,paragraph_resegmentation,high,400,8,0.03125,1.0,False,0.0375,0.0125,0.0676249999999999,0.0325,0.01,0.0575,0.005,0.0,0.015124999999999885,0.026285840220334648,0.011142978654941545,0.043869349040900486
0.05,openai_roberta_base__gpt2_legacy,adjacent_repetition_removal,low,15,4,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0002974751880780483,-1.722927637664335e-05,0.0006968639963209473
0.05,openai_roberta_base__gpt2_legacy,adjacent_repetition_removal,high,15,4,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.00011042856009832272,-8.618409202711637e-06,0.00029681619834346664
0.05,radar_roberta_large__vicuna7b_training,contraction_expansion,low,214,6,0.25,1.0,False,0.04672897196261682,0.01096866096866097,0.08411214953271028,0.04205607476635514,0.0076045627376425855,0.0794392523364486,0.004672897196261682,0.0,0.016963763880771466,0.027450039888140265,0.009797198885299532,0.04415947028805302
0.05,radar_roberta_large__vicuna7b_training,contraction_expansion,high,214,6,0.5,1.0,False,0.06542056074766354,0.017699115044247787,0.1176969092721834,0.056074766355140186,0.00883811412877632,0.1111111111111111,0.009345794392523364,0.0,0.02824858757062147,0.038104654172278735,0.011914125443465309,0.06367879237963969
0.05,radar_roberta_large__vicuna7b_training,punctuation_normalization,low,356,8,0.375,1.0,False,0.03089887640449438,0.014044943820224719,0.05,0.02247191011235955,0.0075,0.041666666666666664,0.008426966292134831,0.0,0.02247191011235955,0.0124617883735441,0.00391736070908573,0.020276516683779663
0.05,radar_roberta_large__vicuna7b_training,punctuation_normalization,high,356,8,0.75,1.0,False,0.042134831460674156,0.016853932584269662,0.0725,0.025280898876404494,0.005,0.0525,0.016853932584269662,0.0025,0.03651685393258427,0.010111582645978988,-0.0003449676201935188,0.02347706394667217
