operating_point,detector,probe,intensity,n,corpora,directional_corpus_sign_flip_p,holm_adjusted_directional_p,holm_reject_0.05,any_flip_rate__estimate,any_flip_rate__lower90,any_flip_rate__upper90,human_to_ai_flip_rate__estimate,human_to_ai_flip_rate__lower90,human_to_ai_flip_rate__upper90,ai_to_human_flip_rate__estimate,ai_to_human_flip_rate__lower90,ai_to_human_flip_rate__upper90,mean_score_shift__estimate,mean_score_shift__lower90,mean_score_shift__upper90
0.01,logrank__qwen2_5_0_5b_fp32,sentence_splitting,low,358,8,1.0,1.0,False,0.002793296089385475,0.0,0.01038961038961039,0,0.0,0.0,0.002793296089385475,0.0,0.01038961038961039,-0.024341531787078766,-0.02759860473791999,-0.021696008037433736
0.01,logrank__qwen2_5_0_5b_fp32,sentence_splitting,high,358,8,0.5,1.0,False,0.00558659217877095,0.0,0.015584415584415584,0,0.0,0.0,0.00558659217877095,0.0,0.015584415584415584,-0.05364418749359252,-0.06033890660179092,-0.04751337495818199
0.01,logrank__qwen2_5_0_5b_fp32,discourse_markers,low,132,6,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-0.01225303149963795,-0.01851925336156553,-0.009997672314333182
0.01,logrank__qwen2_5_0_5b_fp32,discourse_markers,high,132,6,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-0.02990388240879131,-0.03589924961061359,-0.02532353870666768
0.01,logrank__qwen2_5_0_5b_fp32,paragraph_resegmentation,low,400,8,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-0.03482287841581154,-0.04195560684290505,-0.028188673407667494
0.01,logrank__qwen2_5_0_5b_fp32,paragraph_resegmentation,high,400,8,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-0.03805627540158379,-0.049160980987773495,-0.02879448978955466
0.01,logrank__qwen2_5_0_5b_fp32,adjacent_repetition_removal,low,15,4,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-0.014641735845468625,-0.025082478872717473,-0.0056913152664462225
0.01,logrank__qwen2_5_0_5b_fp32,adjacent_repetition_removal,high,15,4,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-0.0288763666412385,-0.048855626016531505,-0.0086320321439054
0.01,mage_longformer__paper,contraction_expansion,low,214,6,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.000370110716252486,-0.0014063308048875344,0.002788970442916236
0.01,mage_longformer__paper,contraction_expansion,high,214,6,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-0.0023507196009946523,-0.019888345945593005,0.015993288386075593
0.01,mage_longformer__paper,punctuation_normalization,low,356,8,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0006859517892418522,-3.397571263230859e-05,0.0023709887276652988
0.01,mage_longformer__paper,punctuation_normalization,high,356,8,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.030175797814536054,0.0003612826075683722,0.07272231164174832
0.01,mage_longformer__paper,sentence_splitting,low,358,8,1.0,1.0,False,0.002793296089385475,0.0,0.01038961038961039,0,0.0,0.0,0.002793296089385475,0.0,0.01038961038961039,0.030459045235721793,0.003893051977187815,0.05999856683190532
0.01,mage_longformer__paper,sentence_splitting,high,358,8,1.0,1.0,False,0.002793296089385475,0.0,0.01,0,0.0,0.0,0.002793296089385475,0.0,0.01,0.12348276466235289,0.06714394768603234,0.1846396416633447
0.01,mage_longformer__paper,discourse_markers,low,132,6,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-0.031214684179703356,-0.07374775835264566,-0.00847353963133045
0.01,mage_longformer__paper,discourse_markers,high,132,6,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-0.0803599347302197,-0.12544540043727734,-0.043210515682464846
0.01,mage_longformer__paper,paragraph_resegmentation,low,400,8,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.012066147381578957,3.080388605440021e-06,0.03387732897992509
0.01,mage_longformer__paper,paragraph_resegmentation,high,400,8,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.033366939959519185,2.7583667465478363e-06,0.08731663150686607
0.01,mage_longformer__paper,adjacent_repetition_removal,low,15,4,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.5064153679607746e-05,-7.006693646568843e-05,5.1178929948036956e-05
